timestamp,round,accuracy,loss,num_clients_trained
2026-09-02T17:44:42.094916,0,0.193170,5.238672,N/A
2026-09-02T17:46:54.814185,1,0.193170,5.238672,N/A
2026-09-02T17:48:10.280774,2,0.193170,5.238672,N/A
2026-09-02T17:49:24.095813,3,0.193170,5.238672,N/A
2026-09-02T17:50:37.778127,4,0.193170,5.238672,N/A
2026-09-02T17:51:53.019054,5,0.193170,5.238672,N/A
2026-09-02T17:53:06.652576,6,0.193170,5.238672,N/A
2026-09-02T17:54:23.695767,7,0.193170,5.238672,N/A
2026-09-02T17:55:37.175763,8,0.193170,5.238672,N/A
2026-09-02T17:57:39.216864,9,0.193170,5.238672,N/A
2026-09-02T17:58:57.907615,10,0.193170,5.238672,N/A
