timestamp,round,accuracy,loss,num_clients_trained
2026-09-03T12:54:17.230068,0,0.198454,5.094330,N/A
2026-09-03T12:59:51.253473,1,0.211710,4.904071,10
2026-09-03T13:04:43.996523,2,0.220816,4.801184,10
2026-09-03T13:09:43.161005,3,0.222604,4.762667,10
2026-09-03T13:14:32.527215,4,0.223178,4.740595,10
2026-09-03T13:19:22.559926,5,0.223545,4.725448,10
2026-09-03T13:24:13.861907,6,0.224141,4.715682,10
2026-09-03T13:29:06.234959,7,0.225127,4.707857,10
2026-09-03T13:34:01.936888,8,0.226022,4.699756,10
2026-09-03T13:39:00.705044,9,0.226664,4.694943,10
2026-09-03T13:43:53.282279,10,0.226893,4.689004,10
2026-09-03T13:48:45.973294,11,0.226802,4.684445,10
2026-09-03T13:53:37.342185,12,0.227444,4.680374,10
2026-09-03T13:58:36.517318,13,0.227352,4.677687,10
2026-09-03T14:03:48.321450,14,0.227696,4.674577,10
2026-09-03T14:08:57.620437,15,0.227719,4.670254,10
2026-09-03T14:14:27.256884,16,0.228223,4.669807,10
2026-09-03T14:21:07.766228,17,0.227765,4.667509,10
2026-09-03T14:26:33.719620,18,0.227902,4.666658,10
2026-09-03T14:31:34.949002,19,0.227971,4.662423,10
2026-09-03T14:36:34.961167,20,0.227765,4.661119,10
