timestamp,round,accuracy,loss,num_clients_trained
2026-09-08T10:53:22.409240,0,0.120000,2.300980,N/A
2026-09-08T10:59:24.269232,1,0.555000,1.878632,7
2026-09-08T11:00:03.305225,2,0.689000,1.574437,7
2026-09-08T11:00:04.091087,3,0.727000,1.374840,7
2026-09-08T11:00:04.844088,4,0.742000,1.233353,7
2026-09-08T11:00:05.500915,5,0.779000,1.121499,7
2026-09-08T11:00:06.157712,6,0.785000,1.035939,7
2026-09-08T11:00:06.709829,7,0.794000,0.969685,7
2026-09-08T11:00:07.261334,8,0.808000,0.913178,7
2026-09-08T11:00:08.027879,9,0.805000,0.872987,7
2026-09-08T11:00:08.687109,10,0.807000,0.837344,7
2026-09-08T11:00:09.444934,11,0.806000,0.809218,7
2026-09-08T11:00:10.102976,12,0.812000,0.781207,7
2026-09-08T11:00:10.761888,13,0.823000,0.755068,7
2026-09-08T11:00:11.462919,14,0.823000,0.733239,7
2026-09-08T11:00:12.340907,15,0.828000,0.714103,7
2026-09-08T11:00:12.995991,16,0.817000,0.700718,7
2026-09-08T11:00:13.658187,17,0.820000,0.687720,7
2026-09-08T11:00:14.211055,18,0.835000,0.668374,7
2026-09-08T11:00:14.766310,19,0.830000,0.657299,7
2026-09-08T11:00:15.320680,20,0.833000,0.645728,7
