timestamp,round,accuracy,loss,num_clients_trained
2026-09-07T15:14:44.695875,0,0.198454,5.094330,N/A
2026-09-07T15:21:42.875582,1,0.211229,4.911864,10
2026-09-07T15:28:13.561559,2,0.219738,4.807662,10
2026-09-07T15:34:39.545123,3,0.222490,4.764675,10
2026-09-07T15:41:06.974391,4,0.223293,4.743646,10
2026-09-07T15:47:35.014198,5,0.223981,4.726529,10
2026-09-07T15:54:11.582888,6,0.224095,4.716179,10
2026-09-07T16:00:47.995232,7,0.224646,4.707011,10
2026-09-07T16:07:30.291493,8,0.225403,4.700802,10
2026-09-07T16:14:05.936756,9,0.225861,4.694053,10
2026-09-07T16:20:48.896640,10,0.226113,4.689212,10
2026-09-07T16:27:22.879209,11,0.226274,4.684448,10
2026-09-07T16:33:57.593812,12,0.227031,4.680437,10
2026-09-07T16:40:28.943314,13,0.227329,4.676518,10
2026-09-07T16:47:03.775538,14,0.227742,4.673845,10
