timestamp,round,accuracy,loss,num_clients_trained
2026-09-08T10:33:42.092143,0,0.120000,2.300980,N/A
2026-09-08T10:40:19.295409,1,0.601000,1.874108,10
2026-09-08T10:40:20.189385,2,0.691000,1.575121,10
2026-09-08T10:40:21.313189,3,0.750000,1.372309,10
2026-09-08T10:40:22.377647,4,0.778000,1.226286,10
2026-09-08T10:40:23.134898,5,0.788000,1.117342,10
2026-09-08T10:40:23.891321,6,0.792000,1.033801,10
2026-09-08T10:40:24.649582,7,0.794000,0.968086,10
2026-09-08T10:40:25.760586,8,0.801000,0.915088,10
2026-09-08T10:40:26.543260,9,0.806000,0.871399,10
2026-09-08T10:40:27.298043,10,0.815000,0.834727,10
2026-09-08T10:40:28.051876,11,0.816000,0.803479,10
2026-09-08T10:40:28.910133,12,0.818000,0.776509,10
2026-09-08T10:40:30.004140,13,0.822000,0.752972,10
2026-09-08T10:40:30.781306,14,0.824000,0.732232,10
2026-09-08T10:40:31.541174,15,0.824000,0.713800,10
2026-09-08T10:40:32.394701,16,0.826000,0.697299,10
2026-09-08T10:40:33.286053,17,0.827000,0.682426,10
2026-09-08T10:40:34.145206,18,0.830000,0.668944,10
2026-09-08T10:40:34.922366,19,0.832000,0.656656,10
2026-09-08T10:40:35.808251,20,0.835000,0.645403,10
