timestamp,round,accuracy,loss,num_clients_trained
2026-09-08T12:05:26.588150,0,0.000176,8.513838,N/A
2026-09-08T12:06:52.711596,1,0.086604,6.626014,7
2026-09-08T12:07:57.775385,2,0.099558,6.163548,7
2026-09-08T12:09:04.455409,3,0.105835,6.035167,7
2026-09-08T12:10:09.013872,4,0.113315,5.939148,7
2026-09-08T12:10:40.701365,5,0.113305,5.930362,7
2026-09-08T12:11:12.388617,6,0.116116,5.918222,7
2026-09-08T12:12:20.074146,7,0.120013,5.858406,7
2026-09-08T12:13:25.270494,8,0.124634,5.811484,7
2026-09-08T12:14:28.341862,9,0.128051,5.770331,7
2026-09-08T12:14:59.114304,10,0.127718,5.756036,7
2026-09-08T12:16:05.200275,11,0.131605,5.724293,7
2026-09-08T12:17:07.079298,12,0.134073,5.695154,7
2026-09-08T12:18:09.122511,13,0.135688,5.667584,7
2026-09-08T12:19:12.020088,14,0.137813,5.648654,7
2026-09-08T12:20:18.171059,15,0.139703,5.625312,7
2026-09-08T12:21:18.473798,16,0.140447,5.608989,7
2026-09-08T12:21:49.619207,17,0.140751,5.597587,7
2026-09-08T12:22:54.793438,18,0.142445,5.588334,7
2026-09-08T12:23:57.323666,19,0.142728,5.578141,7
2026-09-08T12:25:02.118379,20,0.143218,5.570736,7
