timestamp,round,accuracy,loss,num_clients_trained
2026-09-08T11:02:18.439636,0,0.120000,2.300980,N/A
2026-09-08T11:08:16.443172,1,0.549000,1.873744,7
2026-09-08T11:08:55.274834,2,0.690000,1.580603,7
2026-09-08T11:08:55.953509,3,0.702000,1.388866,7
2026-09-08T11:08:56.617133,4,0.756000,1.234537,7
2026-09-08T11:08:57.692135,5,0.793000,1.114280,7
2026-09-08T11:08:58.462323,6,0.793000,1.035457,7
2026-09-08T11:08:59.118658,7,0.798000,0.970535,7
2026-09-08T11:08:59.807802,8,0.798000,0.917085,7
2026-09-08T11:09:00.534861,9,0.803000,0.873700,7
2026-09-08T11:09:01.298880,10,0.795000,0.838360,7
2026-09-08T11:09:01.951382,11,0.810000,0.808039,7
2026-09-08T11:09:02.604436,12,0.817000,0.775787,7
2026-09-08T11:09:03.257328,13,0.827000,0.750271,7
2026-09-08T11:09:03.948839,14,0.820000,0.734249,7
2026-09-08T11:09:04.601147,15,0.820000,0.715081,7
2026-09-08T11:09:05.267623,16,0.826000,0.699457,7
2026-09-08T11:09:05.935218,17,0.825000,0.684929,7
2026-09-08T11:09:06.486715,18,0.830000,0.670002,7
2026-09-08T11:09:07.165084,19,0.832000,0.653679,7
2026-09-08T11:09:07.839187,20,0.826000,0.648076,7
