timestamp,round,accuracy,loss,num_clients_trained
2026-09-08T13:52:50.436179,0,0.101500,2.305463,N/A
2026-09-08T13:53:16.716097,1,0.100000,2.328937,7
2026-09-08T13:53:32.003622,2,0.128700,2.182347,7
2026-09-08T13:53:49.228368,3,0.173700,2.137830,7
2026-09-08T13:54:05.134180,4,0.157400,2.188466,7
2026-09-08T13:54:22.100532,5,0.168600,2.215445,7
2026-09-08T13:54:37.871735,6,0.238400,2.032874,7
2026-09-08T13:54:54.518287,7,0.230800,2.065177,7
2026-09-08T13:55:11.511395,8,0.224300,2.062686,7
2026-09-08T13:55:27.536667,9,0.254400,2.009954,7
2026-09-08T13:55:43.503310,10,0.270600,1.973577,7
2026-09-08T13:55:58.820473,11,0.266600,2.015998,7
2026-09-08T13:56:15.662003,12,0.270000,1.973073,7
2026-09-08T13:56:32.370373,13,0.288700,1.950938,7
2026-09-08T13:56:49.797555,14,0.268100,1.950708,7
2026-09-08T13:57:05.976935,15,0.283400,1.937274,7
2026-09-08T13:57:21.784558,16,0.297800,1.933278,7
2026-09-08T13:57:37.400394,17,0.300000,1.922246,7
2026-09-08T13:57:52.744790,18,0.289800,1.950799,7
2026-09-08T13:58:08.496694,19,0.278100,1.925641,7
2026-09-08T13:58:23.154181,20,0.279100,1.971056,7
