timestamp,round,accuracy,loss,num_clients_trained
2026-09-08T11:10:59.624300,0,0.000176,8.513838,N/A
2026-09-08T11:12:28.646485,1,0.082473,6.866507,10
2026-09-08T11:13:40.765401,2,0.097395,6.209639,10
2026-09-08T11:14:56.462430,3,0.105208,6.068063,10
2026-09-08T11:16:13.644585,4,0.111572,5.971012,10
2026-09-08T11:17:30.138515,5,0.116772,5.900160,10
2026-09-08T11:18:46.616540,6,0.121657,5.844538,10
2026-09-08T11:20:08.990544,7,0.125927,5.799047,10
2026-09-08T11:21:22.655822,8,0.128717,5.760685,10
2026-09-08T11:22:36.479648,9,0.131792,5.727737,10
2026-09-08T11:23:50.876264,10,0.133769,5.699003,10
2026-09-08T11:25:06.623877,11,0.135336,5.674179,10
2026-09-08T11:26:20.245219,12,0.137245,5.652552,10
2026-09-08T11:27:33.870930,13,0.138978,5.633560,10
2026-09-08T11:28:47.949786,14,0.139556,5.616893,10
2026-09-08T11:30:04.450684,15,0.140594,5.602382,10
2026-09-08T11:31:18.283873,16,0.141416,5.589794,10
2026-09-08T11:32:30.287388,17,0.142023,5.579157,10
2026-09-08T11:33:43.054963,18,0.143042,5.570233,10
2026-09-08T11:34:55.736248,19,0.143482,5.562749,10
2026-09-08T11:36:07.702404,20,0.143864,5.556261,10
