timestamp,round,accuracy,loss,num_clients_trained
2026-09-08T19:27:32.992335,0,0.198454,5.094330,N/A
2026-09-08T19:34:27.717100,1,0.211871,4.907344,10
2026-09-08T19:41:08.225936,2,0.220173,4.805559,10
2026-09-08T19:47:41.286703,3,0.222329,4.765891,10
2026-09-08T19:54:10.472772,4,0.223132,4.744350,10
2026-09-08T20:00:42.897227,5,0.223958,4.729587,10
2026-09-08T20:07:12.050060,6,0.224577,4.719004,10
2026-09-08T20:13:41.901743,7,0.224921,4.711003,10
2026-09-08T20:20:12.750902,8,0.225127,4.704604,10
2026-09-08T20:26:35.709417,9,0.225792,4.699303,10
2026-09-08T20:33:03.920864,10,0.225861,4.694845,10
2026-09-08T20:39:34.199724,11,0.225815,4.690996,10
2026-09-08T20:46:00.893537,12,0.226113,4.687635,10
2026-09-08T20:52:25.830423,13,0.226274,4.684731,10
2026-09-08T20:58:53.611011,14,0.226159,4.682201,10
2026-09-08T21:05:20.800790,15,0.226228,4.679998,10
2026-09-08T21:11:46.739665,16,0.226274,4.678077,10
2026-09-08T21:18:13.690014,17,0.226091,4.676399,10
2026-09-08T21:24:31.629148,18,0.226526,4.674910,10
2026-09-08T21:30:54.892568,19,0.226526,4.673595,10
2026-09-08T21:37:24.031225,20,0.226687,4.672431,10
