timestamp,round,accuracy,loss,num_clients_trained
2026-09-04T20:30:40.008421,0,0.198454,5.094330,N/A
2026-09-04T20:45:41.962483,1,0.212009,4.901955,7
2026-09-04T20:57:04.129277,2,0.219990,4.803248,7
2026-09-04T21:03:32.151696,3,0.222880,4.765258,7
2026-09-04T21:08:10.927155,4,0.223384,4.744214,7
2026-09-04T21:12:52.061389,5,0.223522,4.730659,7
2026-09-04T21:17:36.190166,6,0.224302,4.719119,7
2026-09-04T21:22:20.174007,7,0.224806,4.710917,7
2026-09-04T21:27:06.352245,8,0.226113,4.705087,7
2026-09-04T21:31:47.630849,9,0.226297,4.696812,7
2026-09-04T21:36:33.908197,10,0.225815,4.693144,7
2026-09-04T21:41:22.389456,11,0.226136,4.692943,7
2026-09-04T21:46:08.369151,12,0.226710,4.683401,7
2026-09-04T21:50:49.240428,13,0.226779,4.680393,7
2026-09-04T21:55:34.371614,14,0.227054,4.677252,7
2026-09-04T22:00:20.612331,15,0.226756,4.675085,7
2026-09-04T22:05:09.782787,16,0.227283,4.677910,7
2026-09-04T22:09:54.815940,17,0.226916,4.669922,7
2026-09-04T22:14:40.466482,18,0.227535,4.665107,7
2026-09-04T22:19:26.246348,19,0.227100,4.664002,7
2026-09-04T22:24:13.619132,20,0.227834,4.667209,7
