timestamp,round,accuracy,loss,num_clients_trained
2026-09-07T14:48:10.661243,0,0.000196,8.513726,N/A
2026-09-07T14:48:38.718182,1,0.083011,6.840118,10
2026-09-07T14:48:55.350563,2,0.098462,6.212950,10
2026-09-07T14:49:11.062138,3,0.109056,6.059687,10
2026-09-07T14:49:26.661632,4,0.115117,5.959974,10
2026-09-07T14:49:43.811364,5,0.120150,5.891528,10
2026-09-07T14:49:59.531289,6,0.123459,5.832936,10
2026-09-07T14:50:14.967934,7,0.122030,5.793709,10
2026-09-07T14:50:30.235396,8,0.130646,5.745191,10
2026-09-07T14:50:45.955218,9,0.132966,5.714931,10
2026-09-07T14:51:01.201891,10,0.134602,5.687440,10
2026-09-07T14:51:16.588867,11,0.134141,5.666411,10
2026-09-07T14:51:32.267262,12,0.138714,5.636554,10
2026-09-07T14:51:48.523743,13,0.136912,5.621599,10
2026-09-07T14:52:04.895695,14,0.141877,5.598839,10
2026-09-07T14:52:21.128140,15,0.143159,5.584582,10
2026-09-07T14:52:37.553892,16,0.143110,5.572412,10
2026-09-07T14:52:53.508928,17,0.142210,5.562926,10
2026-09-07T14:53:09.822686,18,0.144657,5.548077,10
2026-09-07T14:53:25.520957,19,0.142435,5.549438,10
2026-09-07T14:53:41.355536,20,0.144305,5.541257,10
