timestamp,round,accuracy,loss,num_clients_trained
2026-09-04T14:44:00.315521,0,0.000088,8.524626,N/A
2026-09-04T14:45:30.361976,1,0.075863,6.854104,10
2026-09-04T14:45:55.672803,2,0.095720,6.187764,10
2026-09-04T14:46:21.272419,3,0.108527,6.043278,10
2026-09-04T14:46:46.049486,4,0.110564,5.954949,10
2026-09-04T14:47:11.496918,5,0.118603,5.878514,10
2026-09-04T14:47:36.545255,6,0.124252,5.826771,10
2026-09-04T14:48:01.106147,7,0.124409,5.788137,10
2026-09-04T14:48:26.743247,8,0.129099,5.744791,10
2026-09-04T14:48:52.297371,9,0.132017,5.711645,10
2026-09-04T14:49:19.399101,10,0.134915,5.683217,10
2026-09-04T14:49:51.045588,11,0.136061,5.659869,10
2026-09-04T14:50:19.226571,12,0.136207,5.644769,10
2026-09-04T14:51:06.685807,13,0.139762,5.620697,10
2026-09-04T14:53:02.153930,14,0.140290,5.602915,10
2026-09-04T14:53:56.055919,15,0.141788,5.589753,10
2026-09-04T14:54:20.748059,16,0.141583,5.577498,10
2026-09-04T14:54:46.340747,17,0.143032,5.567582,10
2026-09-04T14:55:12.095954,18,0.143287,5.562222,10
2026-09-04T14:55:37.686580,19,0.143238,5.550578,10
2026-09-04T14:56:03.265309,20,0.143042,5.546782,10
