timestamp,round,accuracy,loss,num_clients_trained
2026-09-04T14:58:08.141316,0,0.198454,5.094330,N/A
2026-09-04T15:08:58.522531,1,0.211802,4.903300,10
2026-09-04T15:20:16.940839,2,0.220747,4.802387,10
2026-09-04T15:32:03.286764,3,0.222765,4.763916,10
2026-09-04T15:45:17.026141,4,0.223017,4.742926,10
2026-09-04T16:07:54.085811,5,0.223453,4.726644,10
2026-09-04T16:20:31.478325,6,0.224669,4.716415,10
2026-09-04T16:27:30.543704,7,0.225196,4.708988,10
2026-09-04T16:34:46.629746,8,0.225655,4.701570,10
2026-09-04T16:48:07.116636,9,0.226136,4.694692,10
2026-09-04T17:00:03.256462,10,0.226595,4.689785,10
2026-09-04T17:06:40.421485,11,0.226228,4.687069,10
2026-09-04T17:13:43.762053,12,0.226641,4.683230,10
2026-09-04T17:20:25.933624,13,0.226664,4.679051,10
2026-09-04T17:39:19.394374,14,0.226756,4.676805,10
2026-09-04T17:58:48.700221,15,0.226824,4.672859,10
2026-09-04T18:18:23.012823,16,0.226962,4.670373,10
2026-09-04T18:37:50.888677,17,0.226710,4.669486,10
2026-09-04T18:57:54.705274,18,0.227260,4.665934,10
2026-09-04T19:19:03.640369,19,0.227421,4.665353,10
2026-09-04T19:40:06.487128,20,0.227696,4.663845,10
