timestamp,round,accuracy,loss,num_clients_trained
2026-09-04T20:00:58.063756,0,0.107000,2.303765,N/A
2026-09-04T20:07:34.667937,1,0.507000,1.876456,7
2026-09-04T20:07:35.321671,2,0.736000,1.576040,7
2026-09-04T20:07:35.978919,3,0.769000,1.363203,7
2026-09-04T20:07:36.632138,4,0.771000,1.220932,7
2026-09-04T20:07:37.283665,5,0.775000,1.112371,7
2026-09-04T20:07:37.935837,6,0.797000,1.026797,7
2026-09-04T20:07:38.589690,7,0.800000,0.968629,7
2026-09-04T20:07:39.239134,8,0.818000,0.913405,7
2026-09-04T20:07:39.892190,9,0.802000,0.868726,7
2026-09-04T20:07:40.544821,10,0.804000,0.834601,7
2026-09-04T20:07:41.096371,11,0.798000,0.811874,7
2026-09-04T20:07:41.648057,12,0.816000,0.773753,7
2026-09-04T20:07:42.100775,13,0.816000,0.758442,7
2026-09-04T20:07:42.657019,14,0.809000,0.738133,7
2026-09-04T20:07:43.314644,15,0.814000,0.719640,7
2026-09-04T20:07:43.967204,16,0.828000,0.693014,7
2026-09-04T20:07:44.619634,17,0.832000,0.681626,7
2026-09-04T20:07:45.272610,18,0.826000,0.670293,7
2026-09-04T20:07:45.924264,19,0.832000,0.656027,7
2026-09-04T20:07:46.578224,20,0.837000,0.646854,7
