timestamp,round,accuracy,loss,num_clients_trained
2026-09-08T15:37:56.312857,0,0.198454,5.094330,N/A
2026-09-08T15:43:13.915585,1,0.211619,4.908216,7
2026-09-08T15:48:05.666136,2,0.219623,4.804994,7
2026-09-08T15:52:58.066192,3,0.222490,4.766189,7
2026-09-08T15:57:47.374230,4,0.222627,4.747071,7
2026-09-08T16:02:33.994334,5,0.224370,4.735149,7
2026-09-08T16:07:26.693543,6,0.224118,4.721692,7
2026-09-08T16:12:20.097906,7,0.223705,4.718296,7
2026-09-08T16:17:07.613805,8,0.224439,4.711734,7
2026-09-08T16:21:50.580168,9,0.226091,4.702235,7
2026-09-08T16:26:32.603799,10,0.226045,4.698669,7
2026-09-08T16:31:15.593860,11,0.225999,4.694141,7
2026-09-08T16:35:54.517027,12,0.225769,4.693660,7
2026-09-08T16:40:38.435999,13,0.226733,4.685309,7
2026-09-08T16:45:20.598496,14,0.225815,4.690610,7
2026-09-08T16:50:07.576647,15,0.225655,4.684832,7
2026-09-08T16:54:51.652863,16,0.225724,4.687104,7
2026-09-08T16:59:39.215360,17,0.225403,4.679642,7
2026-09-08T17:04:26.478635,18,0.225655,4.679786,7
2026-09-08T17:09:09.198033,19,0.227925,4.673567,7
2026-09-08T17:13:49.633384,20,0.225288,4.678619,7
