timestamp,round,accuracy,loss,num_clients_trained
2026-09-08T10:42:47.557677,0,0.120000,2.300980,N/A
2026-09-08T10:50:22.875652,1,0.598000,1.873173,10
2026-09-08T10:50:24.307406,2,0.697000,1.576521,10
2026-09-08T10:50:25.737931,3,0.749000,1.374669,10
2026-09-08T10:50:28.250673,4,0.777000,1.227928,10
2026-09-08T10:50:29.635927,5,0.786000,1.117815,10
2026-09-08T10:50:32.152288,6,0.790000,1.033418,10
2026-09-08T10:50:33.753051,7,0.799000,0.967226,10
2026-09-08T10:50:35.868613,8,0.802000,0.913970,10
2026-09-08T10:50:37.717218,9,0.807000,0.870136,10
2026-09-08T10:50:39.786384,10,0.812000,0.833386,10
2026-09-08T10:50:41.299661,11,0.813000,0.802106,10
2026-09-08T10:50:43.152164,12,0.818000,0.775139,10
2026-09-08T10:50:45.195925,13,0.820000,0.751628,10
2026-09-08T10:50:46.645816,14,0.822000,0.730930,10
2026-09-08T10:50:49.155547,15,0.824000,0.712550,10
2026-09-08T10:50:51.891591,16,0.826000,0.696106,10
2026-09-08T10:50:54.178272,17,0.827000,0.681293,10
2026-09-08T10:50:56.220792,18,0.831000,0.667869,10
2026-09-08T10:50:57.603226,19,0.834000,0.655639,10
2026-09-08T10:50:59.444698,20,0.836000,0.644441,10
