timestamp,round,accuracy,loss,num_clients_trained
2026-09-08T14:00:09.248007,0,0.198454,5.094330,N/A
2026-09-08T14:05:28.436664,1,0.211917,4.904525,7
2026-09-08T14:10:21.911086,2,0.220655,4.803124,7
2026-09-08T14:15:18.462057,3,0.222146,4.763972,7
2026-09-08T14:20:08.569039,4,0.223201,4.748342,7
2026-09-08T14:24:45.939521,5,0.223843,4.729141,7
2026-09-08T14:29:30.875057,6,0.224967,4.716467,7
2026-09-08T14:34:10.933410,7,0.224852,4.711328,7
2026-09-08T14:38:51.548543,8,0.224875,4.707925,7
2026-09-08T14:43:38.519758,9,0.225150,4.697642,7
2026-09-08T14:48:24.676064,10,0.225219,4.701476,7
2026-09-08T14:53:03.147408,11,0.225884,4.693785,7
2026-09-08T14:57:41.403634,12,0.226549,4.688250,7
2026-09-08T15:02:26.255753,13,0.226045,4.689427,7
2026-09-08T15:07:04.223190,14,0.226802,4.680584,7
2026-09-08T15:11:45.962553,15,0.226320,4.678502,7
2026-09-08T15:16:37.281957,16,0.226228,4.681664,7
2026-09-08T15:21:20.491502,17,0.226251,4.675881,7
2026-09-08T15:26:14.380754,18,0.227100,4.671967,7
2026-09-08T15:31:14.086646,19,0.226595,4.672148,7
2026-09-08T15:35:53.287695,20,0.227123,4.671339,7
